ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., (=routine syntax, :=Dc syntax",Description
118,Ambiguous vertical tabulation,0,BN,,Cc,Punctuation,<ambiguous>257 119,Also used as a line separator by Microsoft Word and Powerpoint which use it to contrast with the character used as a paragraph separator (sources: http://stackoverflow.com/questions/3380538/what-is-a-vertical-tab http://unicode.org/reports/tr13/tr13-9.html )
119,New line,0,B,,Cc,Punctuation,"line feed, end of line,<equiv>240 239",
120,Ambiguous line feed,0,B,,Cc,Punctuation,<ambiguous>119 239,
121,Ambiguous carriage return,0,B,,Cc,Punctuation,<ambiguous>119 240,
122,Variant Selector 1,0,NSM,,Mn,Variant selectors,,
123,Variant Selector 2,0,NSM,,Mn,Variant selectors,,
124,Variant Selector 3,0,NSM,,Mn,Variant selectors,,
125,Variant Selector 4,0,NSM,,Mn,Variant selectors,,
126,Variant Selector 5,0,NSM,,Mn,Variant selectors,,
127,Base 64 encapsulation digit 0,0,BN,,!Mi,Encapsulation,,
128,Base 64 encapsulation digit 1,0,BN,,!Mi,Encapsulation,,
129,Base 64 encapsulation digit 2,0,BN,,!Mi,Encapsulation,,
130,Base 64 encapsulation digit 3,0,BN,,!Mi,Encapsulation,,
131,Base 64 encapsulation digit 4,0,BN,,!Mi,Encapsulation,,
132,Base 64 encapsulation digit 5,0,BN,,!Mi,Encapsulation,,
133,Base 64 encapsulation digit 6,0,BN,,!Mi,Encapsulation,,
134,Base 64 encapsulation digit 7,0,BN,,!Mi,Encapsulation,,
135,Base 64 encapsulation digit 8,0,BN,,!Mi,Encapsulation,,
136,Base 64 encapsulation digit 9,0,BN,,!Mi,Encapsulation,,
137,Base 64 encapsulation digit 10,0,BN,,!Mi,Encapsulation,,
138,Base 64 encapsulation digit 11,0,BN,,!Mi,Encapsulation,,
139,Base 64 encapsulation digit 12,0,BN,,!Mi,Encapsulation,,
140,Base 64 encapsulation digit 13,0,BN,,!Mi,Encapsulation,,
141,Base 64 encapsulation digit 14,0,BN,,!Mi,Encapsulation,,
142,Base 64 encapsulation digit 15,0,BN,,!Mi,Encapsulation,,
143,Base 64 encapsulation digit 16,0,BN,,!Mi,Encapsulation,,
144,Base 64 encapsulation digit 17,0,BN,,!Mi,Encapsulation,,
145,Base 64 encapsulation digit 18,0,BN,,!Mi,Encapsulation,,
146,Base 64 encapsulation digit 19,0,BN,,!Mi,Encapsulation,,
147,Base 64 encapsulation digit 20,0,BN,,!Mi,Encapsulation,,
148,Base 64 encapsulation digit 21,0,BN,,!Mi,Encapsulation,,
149,Base 64 encapsulation digit 22,0,BN,,!Mi,Encapsulation,,
150,Base 64 encapsulation digit 23,0,BN,,!Mi,Encapsulation,,
151,Base 64 encapsulation digit 24,0,BN,,!Mi,Encapsulation,,
152,Base 64 encapsulation digit 25,0,BN,,!Mi,Encapsulation,,
153,Base 64 encapsulation digit 26,0,BN,,!Mi,Encapsulation,,
154,Base 64 encapsulation digit 27,0,BN,,!Mi,Encapsulation,,
155,Base 64 encapsulation digit 28,0,BN,,!Mi,Encapsulation,,
156,Base 64 encapsulation digit 29,0,BN,,!Mi,Encapsulation,,
157,Base 64 encapsulation digit 30,0,BN,,!Mi,Encapsulation,,
158,Base 64 encapsulation digit 31,0,BN,,!Mi,Encapsulation,,
159,Base 64 encapsulation digit 32,0,BN,,!Mi,Encapsulation,,
160,Base 64 encapsulation digit 33,0,BN,,!Mi,Encapsulation,,
161,Base 64 encapsulation digit 34,0,BN,,!Mi,Encapsulation,,
162,Base 64 encapsulation digit 35,0,BN,,!Mi,Encapsulation,,
163,Base 64 encapsulation digit 36,0,BN,,!Mi,Encapsulation,,
164,Base 64 encapsulation digit 37,0,BN,,!Mi,Encapsulation,,
165,Base 64 encapsulation digit 38,0,BN,,!Mi,Encapsulation,,
166,Base 64 encapsulation digit 39,0,BN,,!Mi,Encapsulation,,
167,Base 64 encapsulation digit 40,0,BN,,!Mi,Encapsulation,,
168,Base 64 encapsulation digit 41,0,BN,,!Mi,Encapsulation,,
169,Base 64 encapsulation digit 42,0,BN,,!Mi,Encapsulation,,
170,Base 64 encapsulation digit 43,0,BN,,!Mi,Encapsulation,,
171,Base 64 encapsulation digit 44,0,BN,,!Mi,Encapsulation,,
172,Base 64 encapsulation digit 45,0,BN,,!Mi,Encapsulation,,
173,Base 64 encapsulation digit 46,0,BN,,!Mi,Encapsulation,,
174,Base 64 encapsulation digit 47,0,BN,,!Mi,Encapsulation,,
175,Base 64 encapsulation digit 48,0,BN,,!Mi,Encapsulation,,
176,Base 64 encapsulation digit 49,0,BN,,!Mi,Encapsulation,,
177,Base 64 encapsulation digit 50,0,BN,,!Mi,Encapsulation,,
178,Base 64 encapsulation digit 51,0,BN,,!Mi,Encapsulation,,
