Dc ID,Name (!=deprecated),Type,Script,⇵,⌥,◌,⇆,Aa,Syntax,Aliases,Description
92,Latin Small Letter K,Ll,Latin,,,0,L,,C:60,,
93,Latin Small Letter L,Ll,Latin,,,0,L,,C:61,,
94,Latin Small Letter M,Ll,Latin,,,0,L,,C:62,,
95,Latin Small Letter N,Ll,Latin,,,0,L,,C:63,,
96,Latin Small Letter O,Ll,Latin,,,0,L,,C:64,,
97,Latin Small Letter P,Ll,Latin,,,0,L,,C:65,,
98,Latin Small Letter Q,Ll,Latin,,,0,L,,C:66,,
99,Latin Small Letter R,Ll,Latin,,,0,L,,C:67,,
100,Latin Small Letter S,Ll,Latin,,,0,L,,C:68,,
101,Latin Small Letter T,Ll,Latin,,,0,L,,C:69,,
102,Latin Small Letter U,Ll,Latin,,,0,L,,C:70,,
103,Latin Small Letter V,Ll,Latin,,,0,L,,C:71,,
104,Latin Small Letter W,Ll,Latin,,,0,L,,C:72,,
105,Latin Small Letter X,Ll,Latin,,,0,L,,C:73,,
106,Latin Small Letter Y,Ll,Latin,,,0,L,,C:74,,
107,Latin Small Letter Z,Ll,Latin,,,0,L,,C:75,,
108,Left brace,Ps,Punctuation,,,0,ON,,,left curly bracket,
109,Vertical line,Sm,Symbols,,,0,ON,,,"vertical bar, pipe",
110,Right brace,Pe,Punctuation,,,0,ON,,,right curly bracket,
111,Tilde punctuation,Sm,Symbols,,,0,ON,,,,
112,DCE Version Selector 3.0a,!Mi,DCE versions,,,0,BN,,,,
113,End DCE content,!Mi,DCE,,,0,BN,,E:15,,
114,Begin unbounded content,!Mi,Semantic,,,0,BN,,E:115,,"This denotes content that is not ""bound"" (given a context of a page, etc.) to be within &mdash; in other words it is what a plain text file is to a word processing file with page formatting &mdash; content with no context given for presenting it"
115,End unbounded content,!Mi,Semantic,,,0,BN,,B:114,,
116,Backspace,Cc,Controls,,,0,BN,,,,
117,Horizontal tabulation,Cc,Punctuation,,,0,BN,,,"character tabulation, tab",
118,Vertical tabulation,Cc,Punctuation,,,0,BN,,,line tabulation,Also used as a line separator by Microsoft Word and Powerpoint which use it to contrast with the character used as a paragraph separator (sources: http://stackoverflow.com/questions/3380538/what-is-a-vertical-tab http://unicode.org/reports/tr13/tr13-9.html )
119,!New line,Cc,Punctuation,,<variant>120,0,B,,,"line feed, end of line",A variant of Dc120
120,Line feed,Cc,Punctuation,,,0,B,,,"new line, end of line",
121,Carriage return,Cc,Punctuation,,,0,B,,,,
122,Variant Selector 1,Mn,Variant selectors,,,0,NSM,,,,
123,Variant Selector 2,Mn,Variant selectors,,,0,NSM,,,,
124,Variant Selector 3,Mn,Variant selectors,,,0,NSM,,,,
125,Variant Selector 4,Mn,Variant selectors,,,0,NSM,,,,
126,Variant Selector 5,Mn,Variant selectors,,,0,NSM,,,,
127,Base 64 encapsulation digit 0,!Mi,Encapsulation,,,0,BN,,,,
128,Base 64 encapsulation digit 1,!Mi,Encapsulation,,,0,BN,,,,
129,Base 64 encapsulation digit 2,!Mi,Encapsulation,,,0,BN,,,,
130,Base 64 encapsulation digit 3,!Mi,Encapsulation,,,0,BN,,,,
131,Base 64 encapsulation digit 4,!Mi,Encapsulation,,,0,BN,,,,
132,Base 64 encapsulation digit 5,!Mi,Encapsulation,,,0,BN,,,,
133,Base 64 encapsulation digit 6,!Mi,Encapsulation,,,0,BN,,,,
134,Base 64 encapsulation digit 7,!Mi,Encapsulation,,,0,BN,,,,
135,Base 64 encapsulation digit 8,!Mi,Encapsulation,,,0,BN,,,,
136,Base 64 encapsulation digit 9,!Mi,Encapsulation,,,0,BN,,,,
137,Base 64 encapsulation digit 10,!Mi,Encapsulation,,,0,BN,,,,
138,Base 64 encapsulation digit 11,!Mi,Encapsulation,,,0,BN,,,,
139,Base 64 encapsulation digit 12,!Mi,Encapsulation,,,0,BN,,,,
140,Base 64 encapsulation digit 13,!Mi,Encapsulation,,,0,BN,,,,
141,Base 64 encapsulation digit 14,!Mi,Encapsulation,,,0,BN,,,,
142,Base 64 encapsulation digit 15,!Mi,Encapsulation,,,0,BN,,,,
143,Base 64 encapsulation digit 16,!Mi,Encapsulation,,,0,BN,,,,
144,Base 64 encapsulation digit 17,!Mi,Encapsulation,,,0,BN,,,,
145,Base 64 encapsulation digit 18,!Mi,Encapsulation,,,0,BN,,,,
146,Base 64 encapsulation digit 19,!Mi,Encapsulation,,,0,BN,,,,
147,Base 64 encapsulation digit 20,!Mi,Encapsulation,,,0,BN,,,,
148,Base 64 encapsulation digit 21,!Mi,Encapsulation,,,0,BN,,,,
149,Base 64 encapsulation digit 22,!Mi,Encapsulation,,,0,BN,,,,
150,Base 64 encapsulation digit 23,!Mi,Encapsulation,,,0,BN,,,,
151,Base 64 encapsulation digit 24,!Mi,Encapsulation,,,0,BN,,,,
152,Base 64 encapsulation digit 25,!Mi,Encapsulation,,,0,BN,,,,
153,Base 64 encapsulation digit 26,!Mi,Encapsulation,,,0,BN,,,,
154,Base 64 encapsulation digit 27,!Mi,Encapsulation,,,0,BN,,,,
155,Base 64 encapsulation digit 28,!Mi,Encapsulation,,,0,BN,,,,
156,Base 64 encapsulation digit 29,!Mi,Encapsulation,,,0,BN,,,,
157,Base 64 encapsulation digit 30,!Mi,Encapsulation,,,0,BN,,,,
158,Base 64 encapsulation digit 31,!Mi,Encapsulation,,,0,BN,,,,
159,Base 64 encapsulation digit 32,!Mi,Encapsulation,,,0,BN,,,,
